id,geo__place_id,author_id,created_at,text,place_info__full_name,place_info__id,place_info__place_type,place_info__geo__type,place_info__geo__bbox__001,place_info__geo__bbox__002,place_info__geo__bbox__003,place_info__geo__bbox__004,place_info__name,geo__coordinates__type,longitude,latitude
1.37483E+18,3b77caf94bfc81fe,1654441920,2021-03-24T20:56:22.000Z,please continue to share &amp; donate for the survival of a black trans irl sex worker https://t.co/bO03oXzhnF,"Los Angeles, CA",3b77caf94bfc81fe,city,Feature,-118.668404,33.704538,-118.155409,34.337041,Los Angeles,Point,-118.4119065,34.0207895
1.37483E+18,10802d92ed941000,1.36783E+18,2021-03-24T20:54:09.000Z,"While I am #EMbound, I am a huge supporter of psychiatric services! We see many psychiatric patients as ER physicians, many of which could be outpatient if more places like the Jackson Free Clinic existed! Please consider donating to their Psych expansion\n\nhttps://t.co/vIj1oCgA2Q",Jackson Free Clinic,10802d92ed941000,poi,Feature,-90.195301,32.310939,-90.195301,32.310939,Jackson Free Clinic,Point,-90.195301,32.310939
1.37483E+18,e4a0d228eb6be76b,8.76832E+17,2021-03-24T20:49:51.000Z,thank you everyone that donated recently. \nIt doesn’t always take much to make a stranger smile! \n.\nCan you #donate ? Or sponsor a event? If so please do. Can you #share ? Please do.\nhttps://t.co/T8cVhgNvQW\nVenmo @thepmabikeride \nhttps://t.co/zj9mYbIdca\nhttps://t.co/tFvayZTHfX,"Philadelphia, PA",e4a0d228eb6be76b,city,Feature,-75.280284,39.871811,-74.955712,40.13792,Philadelphia,Point,-75.117998,40.0048655
1.37483E+18,e4a0d228eb6be76b,8.76832E+17,2021-03-24T20:49:14.000Z,thank you everyone that donated recently. \nIt doesn’t always take much to make a stranger smile! \n.\nCan you #donate ? Or sponsor a event? If so please do. Can you #share ? Please do.\nhttps://t.co/T8cVhgNvQW\nVenmo @thepmabikeride \nhttps://t.co/zj9mYbIdca\nhttps://t.co/tFvayZTHfX,"Philadelphia, PA",e4a0d228eb6be76b,city,Feature,-75.280284,39.871811,-74.955712,40.13792,Philadelphia,Point,-75.117998,40.0048655
1.37482E+18,642651131f2e976b,1.3169E+18,2021-03-24T20:44:47.000Z,"Exclusive download ""Guarantee"" until  $5000 minimum is raised . https://t.co/B9oHNAd9bX \n\nHelp with moving costs and a lawyer https://t.co/6cWaHLBvVo","Taunton, MA",642651131f2e976b,city,Feature,-71.1844418,41.836409,-70.973634,41.962658,Taunton,Point,-71.0790379,41.8995335
1.37482E+18,00f622ad4940616f,3167243284,2021-03-24T20:35:51.000Z,Firefighter Jared Lloyd Fundraiser https://t.co/blWUaGdBi2,"Chester, NY",00f622ad4940616f,city,Feature,-74.310835,41.341301,-74.249668,41.382249,Chester,Point,-74.2802515,41.361775
1.37482E+18,5015e56ad6f23c9e,19764179,2021-03-24T20:27:17.000Z,@JustinLie_ @GGVCapital @StopAAPIHate @AAAJ_Atlanta @gofundme @CompassionInOak @glennsolomon @jrichlive Thanks Justin!,"Woodside, CA",5015e56ad6f23c9e,city,Feature,-122.288042,37.410659,-122.224931,37.460972,Woodside,Point,-122.2564865,37.4358155
1.37482E+18,4f257244a1548c53,269056773,2021-03-24T20:18:50.000Z,Are we starting a gofundme page to get Harry Wilson to Cardiff permanently then?,"Threemilestone, England",4f257244a1548c53,city,Feature,-5.1286138,50.257534,-5.1059861,50.2665875,Threemilestone,Point,-5.11729995,50.26206075
1.37482E+18,3df4f427b5a60fea,1.37465E+18,2021-03-24T20:16:38.000Z,https://t.co/XdKbhUWjHM,"San Antonio, TX",3df4f427b5a60fea,city,Feature,-98.778559,29.141956,-98.302744,29.693046,San Antonio,Point,-98.5406515,29.417501
1.37482E+18,642651131f2e976b,1.3169E+18,2021-03-24T20:13:00.000Z,"""Guarantee"" makes sense to me! https://t.co/B9oHNAd9bX\nHelp with moving costs and a lawyer https://t.co/6cWaHLBvVo","Taunton, MA",642651131f2e976b,city,Feature,-71.1844418,41.836409,-70.973634,41.962658,Taunton,Point,-71.0790379,41.8995335
1.37482E+18,2a93711775303f90,7.17041E+17,2021-03-24T20:09:34.000Z,Daync Studio 2021 GoFundMe: Half Way There https://t.co/Of7KSKDlxd via @YouTube #savedaync #dayncstudio #mkesmallbusiness #mkehome,"Milwaukee, WI",2a93711775303f90,city,Feature,-88.070827,42.920822,-87.863758,43.1926225,Milwaukee,Point,-87.9672925,43.05672225
1.37482E+18,07d9f32fee081000,731850601,2021-03-24T20:09:34.000Z,@ElPitazoTV Solicito su apoyo y ayuda \n@LoMasLeido @Venezuela_CL @Vzlaenchile \n@vzolanosmiami\nTe agradecería mucho que compartieras esta recaudación de fondos o hicieras un donativo.\n\nLee más aquí https://t.co/nBrsCjFWAE share-sheet https://t.co/Km1RyV4jV0,Peñaflor,07d9f32fee081000,poi,Feature,-70.87812424,-33.60775712,-70.87812424,-33.60775712,Peñaflor,Point,-70.87812424,-33.60775712
1.37482E+18,4c1a8d5d1c267c7f,1.27837E+18,2021-03-24T20:08:02.000Z,Please support my GoFundMe campaign: https://t.co/3LqXFInbuO @gofundme https://t.co/5ChDodEt9j,"Richland Center, WI",4c1a8d5d1c267c7f,city,Feature,-90.404497,43.3149871,-90.360274,43.362386,Richland Center,Point,-90.3823855,43.33868655
1.37481E+18,0e2242eb8691df96,2916973112,2021-03-24T20:05:38.000Z,I have a friend in need. Her dog is her baby and practically the only family she has. If anyone can help. ❤ https://t.co/moSTiy6lrs,"Henderson, NV",0e2242eb8691df96,city,Feature,-115.1581427,35.917793,-114.918531,36.094719,Henderson,Point,-115.0383369,36.006256
1.37481E+18,de599025180e2ee7,2941121776,2021-03-24T19:52:36.000Z,Mcguiness Family Fundraiser🙏🏼💙 https://t.co/DVsR6ZzpG3,"Ohio, USA",de599025180e2ee7,admin,Feature,-84.8203089,38.403186,-80.518626,42.327133,Ohio,Point,-82.66946745,40.3651595
1.37481E+18,002e24c6736f069d,4313801248,2021-03-24T19:46:43.000Z,Kylie Jenner Criticized for Asking Fans to Donate to Her Friend's GoFundMe https://t.co/A69ws9ILI7\n\nYou begged fucked asked people to help” you become a billionaire they all did now with all that you turning into everyone else greedy and hungry can’t share a 0 out of 9 sad sad,"Bronx, NY",002e24c6736f069d,city,Feature,-73.933612,40.785365,-73.765271,40.91533,Bronx,Point,-73.8494415,40.8503475
1.37481E+18,07e9c7d1954fff64,9.08056E+17,2021-03-24T19:42:49.000Z,"Loxley Valley is a beautiful place near where I live, and developers want to build there... Save Loxley Valley Appeal https://t.co/sf5iG1SNHF","Sheffield, England",07e9c7d1954fff64,city,Feature,-1.573648,53.309898,-1.325576,53.4564311,Sheffield,Point,-1.449612,53.38316455
1.37481E+18,00cbad4318310a30,56163383,2021-03-24T19:39:08.000Z,Vamo a ve que tal!\nPueden ayudar con un RT❤\n\nEstoy recaudando dinero para Fundraising for one more step in my sex transition. Haz clic para donar https://t.co/7GVAkbH7Xg,"Cartago, Costa Rica",00cbad4318310a30,admin,Feature,-84.0791779,9.4674778,-83.3168182,10.1360865,Cartago,Point,-83.69799805,9.80178215
1.37481E+18,5c62ffb0f0f3479d,14157981,2021-03-24T19:37:28.000Z,"@GregHale1 @adrienneelrod @MicaStrother @HillaryClinton Drop the GoFundMe, I’m in for 10k(ilograms)","Phoenix, AZ",5c62ffb0f0f3479d,city,Feature,-112.3239143,33.29026,-111.9254391,33.8154652,Phoenix,Point,-112.1246767,33.5528626
1.37481E+18,119b194b6bbb3bea,268389481,2021-03-24T19:34:03.000Z,https://t.co/f6vrR5KZkJ,"Renfrew, Scotland",119b194b6bbb3bea,city,Feature,-4.44813,55.847615,-4.356847,55.888957,Renfrew,Point,-4.4024885,55.868286
1.37481E+18,569c1d39d5de5775,1.33529E+18,2021-03-24T19:33:10.000Z,I'm raising money for Sean desperately needs your help. Click to Donate https://t.co/pQwNdIPD8s,"Bexley, London",569c1d39d5de5775,city,Feature,0.0748022,51.4087608,0.1889376,51.478931,Bexley,Point,0.1318699,51.4438459
1.37481E+18,009d3c3d41dbb00e,68247310,2021-03-24T19:31:56.000Z,"Day 25 with #KidneyTransplant\n\nMy desk finally arrived, but it’s too heavy to put together. Being still really sucks when you have to do it.  \n\nKeep hustling every1, the grass ain’t always greener.\n\nBTW - Read my 10-12 year journey to Transplantation at https://t.co/knOm9wqkD0","Enterprise, NV",009d3c3d41dbb00e,city,Feature,-115.316075,35.9607531,-115.152796,36.0768564,Enterprise,Point,-115.2344355,36.01880475
1.37481E+18,01c77c227d4ab0d5,1.29363E+18,2021-03-24T19:30:47.000Z,Please support my GoFundMe campaign: https://t.co/gVG7ZbbPsh @gofundme https://t.co/bIUJ88LrQN,"North Las Vegas, NV",01c77c227d4ab0d5,city,Feature,-115.212251,36.184836,-115.054495,36.313413,North Las Vegas,Point,-115.133373,36.2491245
1.37481E+18,07e9c7d1954fff64,1.21811E+18,2021-03-24T19:29:35.000Z,"In mid lockdown, with all the worries and fears, and with cash so tight, we and @cprepdsy have now had 499 donations to our #SaveLoxleyValley fighting fund! What remarkable people you are! Would anyone like to become an instant hero by taking us past 500? https://t.co/xT1sTnABX4 https://t.co/kY3Vf5Ix6D","Sheffield, England",07e9c7d1954fff64,city,Feature,-1.573648,53.309898,-1.325576,53.4564311,Sheffield,Point,-1.449612,53.38316455
1.3748E+18,5a110d312052166f,1143561109,2021-03-24T19:23:27.000Z,@NBCLA Sorry Charlie...You’re NOT a prostitute at an #AsianMassage Parlor...No multi-million dollar #GoFundMe for you. 😉🤣😂😂😂 Prostitution...A terrible thing to lose. 🙄,"San Francisco, CA",5a110d312052166f,city,Feature,-122.514926,37.708075,-122.357031,37.833238,San Francisco,Point,-122.4359785,37.7706565
1.3748E+18,f7eb2fa2fea288b1,18162724,2021-03-24T19:19:25.000Z,"Anything helps, friends!  #copd https://t.co/BbTvj2WLOy @gofundme @milacaresquad","Lakewood, CO",f7eb2fa2fea288b1,city,Feature,-105.193475,39.60973,-105.053164,39.761974,Lakewood,Point,-105.1233195,39.685852
1.3748E+18,791e00bcadc4615f,2395768100,2021-03-24T19:14:16.000Z,"It’s my 7th anniversary on Twitter and this has happened. Unrelated, obviously! #breastcancer #hairloss #chemotherapy https://t.co/q6jILBOoRY","Glasgow, Scotland",791e00bcadc4615f,city,Feature,-4.3932845,55.796184,-4.0902182,55.9204214,Glasgow,Point,-4.24175135,55.8583027
