created_at,text,geo__place_id,place_info__country_code,place_info__name,place_info__country,place_info__geo__bbox__001,place_info__geo__bbox__002,place_info__geo__bbox__003,place_info__geo__bbox__004,place_info__full_name,place_info__state,geo__coordinates__type,Longitude,Latitude
2021-03-27T14:45:59.000Z,"Thank you to @VoteTraywick, Young &amp; Gifted Global Ministries, Karen Hulbert Schindler, and @jessa_v for helping to bring this to life ✨ I’m so happy we could work together to address food insecurity through mutual aid in Greece.",00d1c94455339375,US,Greece,United States,-77.761369,43.178823,-77.615702,43.32408,"Greece, NY",New York,,-77.688536,43.2514515
2021-03-26T22:11:29.000Z,"#solidarityNOTcharity means keeping the work going, because the need here in #WashingtonDC will continue long after the pandemic is over.\n\nConsider becoming a recurring donor TODAY! ➡️ Your support makes Mutual Aid possible into the future. https://t.co/F30sUi9f3p \n#WeKeepUsSafe https://t.co/jPjtOFDnEN",01fbe706f872cb32,US,Washington,United States,-77.119401,38.801826,-76.909396,38.9953797,"Washington, DC",District of Columbia,,-77.014399,38.8986029
2021-03-26T20:24:57.000Z,@MrBeast Wonderful man. Hope the state sees how you are running a whole food bank. They need to do for our citizens and I hope that others see the strength of mutual aid. Keep on doing the work.,3b77caf94bfc81fe,US,Los Angeles,United States,-118.6684,33.704538,-118.15541,34.337041,"Los Angeles, CA",California,,-118.41191,34.0207895
2021-03-26T18:58:18.000Z,"New Friendships Blossom During Pandemic https://t.co/9aMzgjIzur \n\n“Others bonded with people they met while helping their communities. Eugene Desyatnik, co-founder of Sew Face Masks Philadelphia, made several new friends through the mutual aid organization.”",e4a0d228eb6be76b,US,Philadelphia,United States,-75.280284,39.871811,-74.955712,40.13792,"Philadelphia, PA",Pennsylvania,,-75.117998,40.0048655
2021-03-26T17:14:09.000Z,"For the next few weeks, I’ll be collecting monetary and food donations for AAPI Women Lead, Community Kitchen Chicago, and Chicago Mutual Aid Gardens. As a thanks for your contribution, I’d be happy to provide a service of sorts in exchange. DM for more deets ✌️",1d9a5370a355ab0c,US,Chicago,United States,-87.940033,41.644102,-87.523993,42.0230669,"Chicago, IL",Illinois,,-87.732013,41.8335845
2021-03-26T13:37:03.000Z,"“Being able to afford rent and have somewhere safe to live is mental health care. Going to see your doctor once a year is also mental health care.” @autistichoya talks Disability Justice, Mutual Aid, and How Race and Disability Intersect, at @MarieClaire:\n\nhttps://t.co/hmVu0lXU7c",c7d2493232f133a0,US,San Carlos,United States,-122.30343,37.47453,-122.23716,37.521347,"San Carlos, CA",California,,-122.2703,37.4979385
2021-03-25T21:09:13.000Z,"offering the houseless residents temporary housing in the form of hotel rooms, that is not community. these spaces form out of the absence of any meaningful policy to provide housing and to stop the dispossession of residents, and become vibrant spaces of mutual aid and support",70707114a9202b98,US,Garden Grove,United States,-118.04296,33.732214,-117.89412,33.805876,"Garden Grove, CA",California,,-117.96854,33.769045
2021-03-25T18:03:47.000Z,"@AndrewMBlake @ninaturner This falls under mutual aid. If a human needs shelter, you give it to them.",d4e703056914a3eb,US,Rockford,United States,-89.173876,42.171924,-88.861257,42.342367,"Rockford, IL",Illinois,,-89.017567,42.2571455
2021-03-25T14:39:19.000Z,Free99Fridge (a wonderful mutual aid initiative in Atlanta that plants fridges stocked up with food around the city) is having a stimulus check access clinic. If you work with the homeless population in ATL or are a part of any orgs that do please spread the word. https://t.co/C6FRUcZ0U6 https://t.co/mnsFcQmfJi,8173485c72e78ca5,US,Atlanta,United States,-84.576827,33.6475029,-84.289385,33.8868859,"Atlanta, GA",Georgia,,-84.433106,33.7671944
2021-03-25T02:40:30.000Z,HEY #ANCHORAGE check this mutual aid table 🖤♥️ https://t.co/rnglcqaop0,07179f4fe0500a32,US,Alaska,United States,-179.23109,51.175093,179.859685,71.434357,"Alaska, USA",Alaska,,0.3142995,61.304725
2021-03-24T21:04:50.000Z,Attention Hoosiers: Please participate in the Indiana Mutual Aid Coalition’s to collect non perishable food on Sat 4/3/21 from 1:00-3:30 pm at the DeKalb County Courthouse. This is to PROMOTE MUTUAL AID during a KKK rally. This is NOT a protest. Please Donate. Please Retweet. https://t.co/izBXre0M2B,2037586e46d4bbca,US,Shelbyville,United States,-85.808882,39.485252,-85.737081,39.569021,"Shelbyville, IN",Indiana,,-85.772982,39.5271365
2021-03-24T19:44:40.000Z,@NicholeGunz yup. i’ve seen an uptick in this especially last spring/summer when mutual aid/personal campaigns were taking off,011add077f4d2da3,US,Brooklyn,United States,-74.041878,40.570842,-73.855673,40.739434,"Brooklyn, NY",New York,,-73.948776,40.655138
2021-03-24T18:14:10.000Z,"Hi friends! We are teaming up with some west Philly mutual aid groups for this great event! If you can donate please do! Any amount helps! Also, we need volunteers!! Please reach out to volunteer! Donate via Venmo @chicks_philly https://t.co/WlWGS422xK",091afca178027053,US,Ramblewood,United States,-74.98383,39.914212,-74.925379,39.9518934,"Ramblewood, NJ",New Jersey,,-74.954605,39.9330527
2021-03-24T16:17:27.000Z,"Our mutual aid hub is open for supply drop off, pick up, and redistribution!\n\n📍2161 University Ave W., St. Paul\nHere are the current lists of our ongoing needs + abundance items: https://t.co/KBoRulbTTm",60e2c37980197297,US,St Paul,United States,-93.207783,44.8907521,-93.003514,44.992279,"St Paul, MN",Minnesota,,-93.105649,44.9415156
2021-03-24T16:14:33.000Z,"went out to echo park today with my ML mutual aid cadre, Communists of Los Angeles to stand in solidarity with our unhoused neighbors. they’re calling for allies all day + tomorrow to protect from sweeps #servicesnotsweeps also finally got to meet my internet crush @savannimalz https://t.co/l22pk6h669",74e65f2726d57f36,US,Echo Park,United States,-118.27352,34.06158,-118.24756,34.0889083,"Echo Park, Los Angeles",California,,-118.26054,34.0752442
